year,age,sex,enrolment_jc
2001,19 YRS,F,154
2001,20 YRS & OVER,MF,66
2001,20 YRS & OVER,F,31
2001,UNDER 17 YRS,MF,10939
2001,UNDER 17 YRS,F,5972
2002,17 YRS,MF,11477
2002,17 YRS,F,6253
2002,18 YRS,MF,1650
2002,18 YRS,F,844
2002,19 YRS,MF,445
2002,19 YRS,F,230
2002,20 YRS & OVER,MF,71
2002,20 YRS & OVER,F,33
2002,UNDER 17 YRS,MF,11733
2002,UNDER 17 YRS,F,6380
2003,17 YRS,MF,12104
2003,17 YRS,F,6558
2003,18 YRS,MF,1784
2003,18 YRS,F,898
2003,19 YRS,MF,402
2003,19 YRS,F,198
2003,20 YRS & OVER,MF,68
2003,20 YRS & OVER,F,38
2003,UNDER 17 YRS,MF,10201
2003,UNDER 17 YRS,F,5514
2004,17 YRS,MF,10635
2004,17 YRS,F,5720
2004,18 YRS,MF,1736
2004,18 YRS,F,849
2004,19 YRS,MF,441
2004,19 YRS,F,201
2004,20 YRS & OVER,MF,82
2004,20 YRS & OVER,F,37
2004,UNDER 17 YRS,MF,11787
2004,UNDER 17 YRS,F,6363
2005,17 YRS,MF,12303
2005,17 YRS,F,6627
2005,18 YRS,MF,1713
2005,18 YRS,F,870
2005,19 YRS,MF,430
2005,19 YRS,F,200
2005,20 YRS & OVER,MF,84
2005,20 YRS & OVER,F,37
2005,UNDER 17 YRS,MF,14371
2005,UNDER 17 YRS,F,7808
2006,17 YRS,MF,15113
2006,17 YRS,F,8192
2006,18 YRS,MF,1965
2006,18 YRS,F,1031
2006,19 YRS,MF,488
2006,19 YRS,F,250
2006,20 YRS & OVER,MF,70
2006,20 YRS & OVER,F,29
2006,UNDER 17 YRS,MF,13090
2006,UNDER 17 YRS,F,7032
2007,17 YRS,MF,14080
2007,17 YRS,F,7549
2007,18 YRS,MF,2426
2007,18 YRS,F,1321
2007,19 YRS,MF,557
2007,19 YRS,F,297
2007,20 YRS & OVER,MF,94
2007,20 YRS & OVER,F,43
2007,UNDER 17 YRS,MF,14470
2007,UNDER 17 YRS,F,7936
2008,17 YRS,MF,15119
2008,17 YRS,F,8240
2008,18 YRS,MF,2741
2008,18 YRS,F,1400
2008,19 YRS,MF,780
2008,19 YRS,F,424
2008,20 YRS & OVER,MF,119
2008,20 YRS & OVER,F,65
2008,UNDER 17 YRS,MF,13820
2008,UNDER 17 YRS,F,7620
2009,17 YRS,MF,14433
2009,17 YRS,F,7924
2009,18 YRS,MF,3015
2009,18 YRS,F,1588
2009,19 YRS,MF,846
2009,19 YRS,F,420
2009,20 YRS & OVER,MF,164
2009,20 YRS & OVER,F,85
2009,UNDER 17 YRS,MF,13652
2009,UNDER 17 YRS,F,7552
2010,17 YRS,MF,14517
2010,17 YRS,F,7976
2010,18 YRS,MF,2936
2010,18 YRS,F,1595
2010,19 YRS,MF,881
2010,19 YRS,F,452
2010,20 YRS & OVER,MF,206
2010,20 YRS & OVER,F,111
2010,UNDER 17 YRS,MF,13880
2010,UNDER 17 YRS,F,7635
2011,17 YRS,MF,14705
2011,17 YRS,F,8045
2011,18 YRS,MF,2996
2011,18 YRS,F,1541
2011,19 YRS,MF,807
2011,19 YRS,F,434
2011,20 YRS & OVER,MF,180
2011,20 YRS & OVER,F,95
2011,UNDER 17 YRS,MF,13608
2011,UNDER 17 YRS,F,7450
2012,17 YRS,MF,14447
2012,17 YRS,F,7901
2012,18 YRS,MF,3010
2012,18 YRS,F,1647
2012,19 YRS,MF,810
2012,19 YRS,F,406
2012,20 YRS & OVER,MF,172
2012,20 YRS & OVER,F,83
2012,UNDER 17 YRS,MF,13648
2012,UNDER 17 YRS,F,7474
2013,17 YRS,MF,14584
2013,17 YRS,F,7945
2013,18 YRS,MF,2963
2013,18 YRS,F,1639
2013,19 YRS,MF,754
2013,19 YRS,F,398
2013,20 YRS & OVER,MF,112
2013,20 YRS & OVER,F,63
2013,UNDER 17 YRS,MF,13752
2013,UNDER 17 YRS,F,7410
2014,17 YRS,MF,14486
2014,17 YRS,F,7758
2014,18 YRS,MF,3034
2014,18 YRS,F,1657
2014,19 YRS,MF,727
2014,19 YRS,F,384
2014,20 YRS & OVER,MF,139
2014,20 YRS & OVER,F,74
2014,UNDER 17 YRS,MF,13227
2014,UNDER 17 YRS,F,7162
2015,17 YRS,MF,13944
2015,17 YRS,F,7525
2015,18 YRS,MF,2762
2015,18 YRS,F,1481
2015,19 YRS,MF,630
2015,19 YRS,F,316
2015,20 YRS & OVER,MF,121
2015,20 YRS & OVER,F,66
2015,UNDER 17 YRS,MF,12102
2015,UNDER 17 YRS,F,6579
2016,17 YRS,MF,12773
2016,17 YRS,F,6916
2016,18 YRS,MF,2551
2016,18 YRS,F,1394
2016,19 YRS,MF,565
2016,19 YRS,F,279
2016,20 YRS & OVER,MF,118
2016,20 YRS & OVER,F,56
2016,UNDER 17 YRS,MF,12435
2016,UNDER 17 YRS,F,6724
2017,17 YRS,MF,12987
2017,17 YRS,F,6984
2017,18 YRS,MF,2168
2017,18 YRS,F,1192
2017,19 YRS,MF,502
2017,19 YRS,F,254
2017,20 YRS & OVER,MF,98
2017,20 YRS & OVER,F,56
2017,UNDER 17 YRS,MF,13497
